dataset_id, x_axis_id, y_axis_id, x_axis_name, y_axis_name, title, length, width, global_row, global_col
1, 31, 1, TDiffAvg_pc_angle, UMAP_D2, default title, 512, 512, 50, 1
1, 32, 1, TDiffAvg_pc_value, UMAP_D2, default title, 512, 512, 51, 1
1, 33, 1, TDiffEnt_Avg, UMAP_D2, default title, 512, 512, 0, 2
1, 34, 1, TDiffEnt_Ortho_pc_value, UMAP_D2, default title, 512, 512, 1, 2
1, 35, 1, TDiffEnt_pc_angle, UMAP_D2, default title, 512, 512, 2, 2
1, 36, 1, TDiffEnt_pc_value, UMAP_D2, default title, 512, 512, 3, 2
1, 37, 1, TDiffVariance_Avg, UMAP_D2, default title, 512, 512, 4, 2
1, 38, 1, TDiffVariance_Ortho_pc_value, UMAP_D2, default title, 512, 512, 5, 2
1, 39, 1, TDiffVariance_pc_angle, UMAP_D2, default title, 512, 512, 6, 2
1, 40, 1, TDiffVariance_pc_value, UMAP_D2, default title, 512, 512, 7, 2
1, 41, 1, TEnergy_Avg, UMAP_D2, default title, 512, 512, 8, 2
1, 42, 1, TEnergy_Ortho_pc_value, UMAP_D2, default title, 512, 512, 9, 2
1, 43, 1, TEnergy_pc_angle, UMAP_D2, default title, 512, 512, 10, 2
1, 44, 1, TEnergy_pc_value, UMAP_D2, default title, 512, 512, 11, 2
1, 45, 1, TEnt_Avg, UMAP_D2, default title, 512, 512, 12, 2
1, 46, 1, TEnt_Ortho_pc_value, UMAP_D2, default title, 512, 512, 13, 2
1, 47, 1, TEnt_pc_angle, UMAP_D2, default title, 512, 512, 14, 2
1, 48, 1, TEnt_pc_value, UMAP_D2, default title, 512, 512, 15, 2
1, 49, 1, THomogeneity_Avg, UMAP_D2, default title, 512, 512, 16, 2
1, 50, 1, THomogeneity_Ortho_pc_value, UMAP_D2, default title, 512, 512, 17, 2
1, 51, 1, THomogeneity_pc_angle, UMAP_D2, default title, 512, 512, 18, 2
1, 52, 1, THomogeneity_pc_value, UMAP_D2, default title, 512, 512, 19, 2
1, 53, 1, TInvDiffMoment_Avg, UMAP_D2, default title, 512, 512, 20, 2
1, 54, 1, TInvDiffMoment_Ortho_pc_value, UMAP_D2, default title, 512, 512, 21, 2
1, 55, 1, TInvDiffMoment_pc_angle, UMAP_D2, default title, 512, 512, 22, 2
1, 56, 1, TInvDiffMoment_pc_value, UMAP_D2, default title, 512, 512, 23, 2
1, 57, 1, TSumAvg_Avg, UMAP_D2, default title, 512, 512, 24, 2
1, 58, 1, TSumAvg_Ortho_pc_value, UMAP_D2, default title, 512, 512, 25, 2
1, 59, 1, TSumAvg_pc_angle, UMAP_D2, default title, 512, 512, 26, 2
1, 60, 1, TSumAvg_pc_value, UMAP_D2, default title, 512, 512, 27, 2
1, 61, 1, TSumEnt_Avg, UMAP_D2, default title, 512, 512, 28, 2
1, 62, 1, TSumEnt_Ortho_pc_value, UMAP_D2, default title, 512, 512, 29, 2
1, 63, 1, TSumEnt_pc_angle, UMAP_D2, default title, 512, 512, 30, 2
1, 64, 1, TSumEnt_pc_value, UMAP_D2, default title, 512, 512, 31, 2
1, 65, 1, TSumVariance_Avg, UMAP_D2, default title, 512, 512, 32, 2
1, 66, 1, TSumVariance_Ortho_pc_value, UMAP_D2, default title, 512, 512, 33, 2
1, 67, 1, TSumVariance_pc_angle, UMAP_D2, default title, 512, 512, 34, 2
1, 68, 1, TSumVariance_pc_value, UMAP_D2, default title, 512, 512, 35, 2
1, 69, 1, TVariance_Avg, UMAP_D2, default title, 512, 512, 36, 2
1, 70, 1, TVariance_Ortho_pc_value, UMAP_D2, default title, 512, 512, 37, 2
1, 71, 1, TVariance_pc_angle, UMAP_D2, default title, 512, 512, 38, 2
1, 72, 1, TVariance_pc_value, UMAP_D2, default title, 512, 512, 39, 2
1, 73, 1, concentration, UMAP_D2, default title, 512, 512, 40, 2
1, 3, 2, PC2, PC1, default title, 512, 512, 41, 2
1, 4, 2, PC3, PC1, default title, 512, 512, 42, 2
1, 5, 2, PC4, PC1, default title, 512, 512, 43, 2
1, 6, 2, PC5, PC1, default title, 512, 512, 44, 2
1, 7, 2, PC6, PC1, default title, 512, 512, 45, 2
1, 8, 2, PC7, PC1, default title, 512, 512, 46, 2
1, 9, 2, PC8, PC1, default title, 512, 512, 47, 2
1, 10, 2, PC9, PC1, default title, 512, 512, 48, 2
1, 11, 2, PC10, PC1, default title, 512, 512, 49, 2
1, 12, 2, Entropy, PC1, default title, 512, 512, 50, 2
1, 13, 2, Hyperflatness, PC1, default title, 512, 512, 51, 2
1, 14, 2, Hyperskewness, PC1, default title, 512, 512, 0, 3
